42.24	2	2	0.044963	0.0495282
42.24	2	3	0.0543401	0.0575452
42.24	2	4	0.0577638	0.0601375
42.24	2	5	0.0591438	0.0609926
42.24	2	6	0.0595994	0.0610922
42.24	2	7	0.0595706	0.0608082
42.24	2	8	0.0592648	0.0603116
42.24	2	9	0.0587921	0.0596914
42.24	2	10	0.0582159	0.0589982
42.24	2	11	0.0575748	0.0582625
42.24	2	12	0.0568938	0.0575035
42.24	2	13	0.0561893	0.0567338
42.24	2	14	0.0554724	0.0559619
42.24	2	15	0.0547509	0.0551934
42.24	2	16	0.0540303	0.0544323
42.24	2	17	0.0533145	0.0536812
42.24	2	18	0.0526063	0.0529421
42.24	2	19	0.0519075	0.0522162
42.24	2	20	0.0512196	0.0515043
42.24	2	21	0.0505436	0.0508068
42.24	2	22	0.04988	0.0501241
42.24	2	23	0.0492293	0.0494562
42.24	2	24	0.0485917	0.0488031
42.24	2	25	0.0479673	0.0481646
42.24	2	26	0.047356	0.0475406
42.24	2	27	0.0467578	0.0469309
42.24	2	28	0.0461726	0.046335
42.24	2	29	0.0456001	0.0457528
42.24	2	30	0.04504	0.0451839
42.24	2	31	0.0444922	0.0446279
42.24	2	32	0.0439564	0.0440846
42.24	2	33	0.0434323	0.0435535
42.24	2	34	0.0429197	0.0430344
42.24	2	35	0.0424181	0.0425269
42.24	2	36	0.0419274	0.0420307
42.24	2	37	0.0414473	0.0415454
42.24	2	38	0.0409775	0.0410707
42.24	2	39	0.0405176	0.0406064
42.24	2	40	0.0400675	0.040152
42.24	2	41	0.0396268	0.0397075
42.24	2	42	0.0391953	0.0392723
42.24	2	43	0.0387728	0.0388463
42.24	2	44	0.0383589	0.0384292
42.24	2	45	0.0379535	0.0380207
42.24	2	46	0.0375563	0.0376207
42.24	2	47	0.0371671	0.0372287
42.24	2	48	0.0367856	0.0368447
42.24	2	49	0.0364117	0.0364684
42.24	2	50	0.0360451	0.0360995
42.24	2	51	0.0356856	0.0357379
42.24	2	52	0.0353331	0.0353833
42.24	2	53	0.0349873	0.0350356
42.24	2	54	0.034648	0.0346945
42.24	2	55	0.0343152	0.0343599
42.24	2	56	0.0339886	0.0340317
42.24	2	57	0.033668	0.0337095
42.24	2	58	0.0333533	0.0333933
42.24	2	59	0.0330443	0.0330829
42.24	2	60	0.0327409	0.0327782
42.24	2	61	0.032443	0.032479
42.24	2	62	0.0321503	0.0321851
42.24	2	63	0.0318628	0.0318964
42.24	2	64	0.0315803	0.0316128
42.24	2	65	0.0313028	0.0313342
42.24	2	66	0.03103	0.0310604
42.24	2	67	0.0307618	0.0307913
42.24	2	68	0.0304982	0.0305267
42.24	2	69	0.0302391	0.0302667
42.24	2	70	0.0299842	0.030011
42.24	2	71	0.0297336	0.0297595
42.24	2	72	0.0294871	0.0295122
42.24	2	73	0.0292446	0.0292689
42.24	2	74	0.029006	0.0290296
42.24	2	75	0.0287712	0.0287942
42.24	2	76	0.0285402	0.0285625
42.24	2	77	0.0283128	0.0283345
42.24	2	78	0.028089	0.0281101
42.24	2	79	0.0278687	0.0278891
42.24	2	80	0.0276518	0.0276716
42.24	2	81	0.0274382	0.0274575
42.24	2	82	0.0272278	0.0272466
42.24	2	83	0.0270207	0.0270389
42.24	2	84	0.0268166	0.0268344
42.24	2	85	0.0266156	0.0266329
42.24	2	86	0.0264175	0.0264344
42.24	2	87	0.0262224	0.0262388
42.24	2	88	0.0260301	0.0260461
42.24	2	89	0.0258406	0.0258562
42.24	2	90	0.0256538	0.025669
42.24	2	91	0.0254697	0.0254845
42.24	2	92	0.0252882	0.0253026
42.24	2	93	0.0251092	0.0251232
42.24	2	94	0.0249327	0.0249464
42.24	2	95	0.0247587	0.0247721
42.24	2	96	0.0245871	0.0246002
42.24	2	97	0.0244179	0.0244306
42.24	2	98	0.0242509	0.0242633
42.24	2	99	0.0240862	0.0240983
42.24	2	100	0.0239237	0.0239356
42.24	2	101	0.0237634	0.023775
42.24	2	102	0.0236052	0.0236165
42.24	2	103	0.0234491	0.0234602
42.24	2	104	0.023295	0.0233058
42.24	2	105	0.023143	0.0231535
42.24	2	106	0.0229929	0.0230032
42.24	2	107	0.0228447	0.0228548
42.24	2	108	0.0226984	0.0227083
42.24	2	109	0.022554	0.0225637
42.24	2	110	0.0224114	0.0224208
42.24	2	111	0.0222706	0.0222798
42.24	2	112	0.0221315	0.0221406
42.24	2	113	0.0219942	0.022003
42.24	2	114	0.0218585	0.0218672
42.24	2	115	0.0217245	0.021733
42.24	2	116	0.0215921	0.0216004
42.24	2	117	0.0214613	0.0214695
42.24	2	118	0.0213321	0.0213401
42.24	2	119	0.0212045	0.0212123
42.24	2	120	0.0210783	0.021086
42.24	2	121	0.0209537	0.0209612
42.24	2	122	0.0208305	0.0208378
42.24	2	123	0.0207087	0.0207159
42.24	2	124	0.0205884	0.0205954
42.24	2	125	0.0204694	0.0204763
42.24	2	126	0.0203518	0.0203586
42.24	2	127	0.0202355	0.0202422
42.24	2	128	0.0201206	0.0201271
42.24	2	129	0.0200069	0.0200133
42.24	2	130	0.0198946	0.0199008
42.24	2	131	0.0197834	0.0197896
42.24	2	132	0.0196735	0.0196796
42.24	2	133	0.0195649	0.0195708
42.24	2	134	0.0194574	0.0194632
42.24	2	135	0.0193511	0.0193568
42.24	2	136	0.0192459	0.0192515
42.24	2	137	0.0191419	0.0191474
42.24	2	138	0.019039	0.0190444
42.24	2	139	0.0189371	0.0189425
42.24	2	140	0.0188364	0.0188416
42.24	2	141	0.0187367	0.0187419
42.24	2	142	0.0186381	0.0186432
