0.2	2	0.834678	28	0.883931	6
0.2	3	0.831283	39	0.883326	8
0.2	4	0.82924	51	0.882835	10
0.2	5	0.82792	62	0.882507	12
0.2	6	0.826992	73	0.882272	14
0.2	7	0.826307	85	0.882108	17
0.2	8	0.825779	96	0.881979	19
0.2	9	0.82536	107	0.881875	21
0.2	10	0.825019	119	0.881788	23
0.4	2	0.876984	39	0.91688	6
0.4	3	0.87435	55	0.916554	8
0.4	4	0.87279	70	0.91629	10
0.4	5	0.871779	86	0.916114	12
0.4	6	0.87107	102	0.915987	14
0.4	7	0.870544	118	0.915898	17
0.4	8	0.87014	134	0.915829	19
0.4	9	0.869819	149	0.915773	21
0.4	10	0.869558	165	0.915726	23
0.6	2	0.894029	47	0.928416	6
0.6	3	0.8918	66	0.928193	8
0.6	4	0.890486	86	0.928013	10
0.6	5	0.889635	105	0.927892	12
0.6	6	0.889038	124	0.927805	14
0.6	7	0.888595	143	0.927745	17
0.6	8	0.888254	162	0.927697	19
0.6	9	0.887984	182	0.927659	21
0.6	10	0.887764	200	0.927627	23
0.8	2	0.903595	54	0.934294	6
0.8	3	0.901625	76	0.934124	8
0.8	4	0.900468	99	0.933987	10
0.8	5	0.899718	121	0.933895	12
0.8	6	0.899192	143	0.93383	14
0.8	7	0.898803	165	0.933784	17
0.8	8	0.898503	187	0.933747	19
0.8	9	0.898228	200	0.933718	21
0.8	10	0.897667	200	0.933694	23
1	2	0.909847	60	0.937856	6
1	3	0.908062	85	0.937719	8
1	4	0.907016	110	0.937609	10
1	5	0.906337	135	0.937535	12
1	6	0.905862	159	0.937482	14
1	7	0.90551	184	0.937445	17
1	8	0.905209	200	0.937416	19
1	9	0.904614	200	0.937392	21
1	10	0.903716	200	0.937372	23
